date,total_tvl_usd,equal_weight_system_return,downside_breadth,protocol_count,worst_protocol_drawdown_7d,stablecoin_supply_usd,stablecoin_supply_log_flow,avg_pairwise_correlation,edge_count,edge_density,network_protocol_count,possible_edges,max_degree,max_weighted_degree,rolling_system_volatility_30d,stablecoin_flow_7d,system_tvl_momentum_7d,forward_7d_system_return,forward_7d_stress_event,correlation_component,network_component,stablecoin_stress_component,volatility_component,breadth_component,risk_score_original,risk_score_equal,risk_score_calibrated,tvl_momentum_stress_component,risk_score,risk_regime
2023-02-24,29381179261.0,0.0007536514821344,0.4285714285714285,7,-0.1068509328095528,134871069073.0,-0.0010448192300202,0.7228243587715629,21.0,1.0,7.0,21.0,6.0,4.894574396058948,0.022464261865923704,-0.007107703105140097,0.037768314262401605,0.0254923900041497,0.0,87.73769754688868,100.0,91.1996002493801,34.11132982468991,42.85714285714285,73.4251818301076,71.18115409562031,15.126896163877552,36.135681784395715,73.4251818301076,High
2023-02-25,28786885868.0,-0.0189411864404568,1.0,7,-0.126495668932566,134855093502.0,-0.0001184577044078,0.727895682482157,21.0,1.0,7.0,21.0,6.0,4.917808686098821,0.022453667224328885,-0.0067686607173409975,-0.0099968184741819,0.009003542800374895,0.0,88.7902824953628,100.0,90.21240572663866,34.07131534811955,100.0,82.05431483879235,82.6148007140242,15.127652735091665,57.48952824201046,82.05431483879235,High
2023-02-26,28971457317.0,0.0017461146070472,0.8571428571428571,7,-0.1276104599937408,134976439527.0,0.0008994207001542,0.7251935481367895,21.0,1.0,7.0,21.0,6.0,4.854341672484837,0.02239065585882906,-0.005998954908892297,-0.041534209130066,0.0030336627557941975,0.0,88.22943761481473,100.0,87.97124242208729,33.83333025104066,85.71428571428571,79.27541679547214,79.14965920044568,15.1228697431635,71.58861180268,79.27541679547214,High
2023-02-27,29725880214.0,0.0238731482959526,0.0,7,-0.1048328380773544,134897788649.0,-0.000582870626501,0.7250201688101624,21.0,1.0,7.0,21.0,6.0,4.853383634737378,0.022662117920170873,-0.006950434294407697,-0.009513620657436595,-0.019872774633949698,0.0,88.19345165138607,100.0,90.74167842561958,34.858604414030275,0.0,67.16841948077649,62.75874689820718,15.14014445706221,57.27351016781528,67.16841948077649,Watch
2023-02-28,29853668598.0,-0.0005321961501544,0.8571428571428571,7,-0.1088090819051597,134598011067.0,-0.0022247300771274,0.7260397932166559,21.0,1.0,7.0,21.0,6.0,4.8288383301491065,0.02263999969400458,-0.006708775158465197,-0.0303240329168123,-0.019895017929791196,0.0,88.40508107293728,100.0,90.03803609664263,34.77506697344882,85.71428571428571,79.92103373939547,79.78649397146287,15.139020546788966,66.57699835358177,79.92103373939547,High
2023-03-01,29794207393.0,-0.0007718500874709,0.5714285714285714,7,-0.0850338864976032,134455610391.0,-0.0010585301808972,0.722302896675631,21.0,1.0,7.0,21.0,6.0,4.80616911718229,0.022141772400198108,-0.006060122628914097,-0.007865255877001797,-0.012114235863290197,0.0,87.62946482803638,100.0,88.14934533885261,32.89333230632416,57.14285714285714,74.68733030747302,73.16299992321406,15.106185599754134,56.53659337493919,74.68733030747302,High
2023-03-02,30545523941.0,0.0233082060574985,0.0,7,0.0,134286929536.0,-0.0012553343969833,0.7248685094825692,21.0,1.0,7.0,21.0,6.0,4.826376350611791,0.021372416831574148,-0.005385321515782697,0.029435887764550604,-0.05507146992379469,1.0,88.16197380957787,100.0,86.18451737988403,29.98758414113542,0.0,65.27491375659835,60.866815066119464,15.05794307561489,39.860770481117676,65.27491375659835,Watch
2023-03-03,30366897332.0,-0.0031898462782665,0.8571428571428571,7,-0.0247907328525902,134462132798.0,0.0013038429626431,0.7187929870104948,21.0,1.0,7.0,21.0,6.0,4.807088068886771,0.021414466357119525,-0.0030366593231193964,0.0254923900041497,-0.1137081404958355,1.0,86.90096112863567,100.0,79.3458844071214,30.146399306299003,85.71428571428571,76.48083988198586,76.42150611126837,15.058906096182964,41.62374780070235,76.48083988198586,High
2023-03-04,29307993629.0,-0.0354300336442316,1.0,7,-0.0824481242322877,134487439968.0,0.0001881926772696,0.7251507421825776,21.0,1.0,7.0,21.0,6.0,4.843312583612562,0.021428573089748146,-0.002730008941441997,0.009003542800374909,-0.09461894762707859,1.0,88.220552971341,100.0,78.45300614740398,30.199678458519525,100.0,78.78567516401995,79.37464751545289,15.061592215513233,48.99524016929368,78.78567516401995,High
2023-03-05,29261463065.0,-0.0042237654375335,0.7142857142857143,7,-0.1023504382487128,134578051700.0,0.0006735292204415,0.7260137372452448,21.0,1.0,7.0,21.0,6.0,4.843271513027495,0.02137949947364863,-0.002955900421154697,0.0030336627557942053,-0.13747246705377458,1.0,88.39967299313597,100.0,79.11073756840399,30.014334287689145,71.42857142857143,74.63921833378834,73.79066325556012,15.058715551935004,51.66413051961227,74.63921833378834,High
2023-03-06,29240483503.0,0.0009667109062087,0.4285714285714285,7,-0.0995103227883068,134646041124.0,0.000505076828245,0.7286369791325689,21.0,1.0,7.0,21.0,6.0,4.882910539033999,0.02123529076161313,-0.001867952966408697,-0.019872774633949694,-0.04918498787416549,0.0,88.94414325068155,100.0,75.94294555476309,29.469678191742698,42.85714285714285,69.74713199054297,67.44278197086604,15.050289282930688,61.90466621767225,69.74713199054297,Watch
2023-03-07,29193029984.0,-0.0005544394459959,0.7142857142857143,7,-0.1033817518512663,134442923214.0,-0.0015096713391944,0.729332117015973,21.0,1.0,7.0,21.0,6.0,4.887179313590953,0.021239711507105803,-0.0011528942284756971,-0.019895017929791193,-0.01995783783276729,0.0,89.08842346526475,100.0,73.86089889945183,29.486374727945165,71.42857142857143,73.6558463060813,72.77285370424664,15.050765696579314,61.914610289778786,73.6558463060813,High
2023-03-08,29221208937.0,0.0070089319790301,0.4285714285714285,7,-0.0868085958855339,134466136644.0,0.00017264892503,0.7244362134250725,21.0,1.0,7.0,21.0,6.0,4.870230796080065,0.02123345561379807,7.828487745150287e-05,-0.012114235863290194,-0.012757047361201394,0.0,88.07224805958182,100.0,70.27605725833756,29.46274709562286,42.85714285714285,68.39439431425896,66.13363905413702,15.048991086893238,58.43613936236588,68.39439431425896,Watch
2023-03-09,28649789932.0,-0.019649028003006,1.0,7,-0.1042619466271493,134364643505.0,-0.000755070857331,0.7292151306672717,21.0,1.0,7.0,21.0,6.0,4.898533762282811,0.02160181210071401,0.0005785484171038029,-0.05507146992379469,-0.019137115367334194,0.0,89.06414221704495,100.0,68.81943282421331,30.853977925219322,100.0,77.20071770414776,77.74751059329552,15.07375369898069,77.64057003841141,77.20071770414776,High
2023-03-10,27115156013.0,-0.0618265168503073,1.0,7,-0.1891768979800996,134371491348.0,5.0963321365178554e-05,0.7585001405070172,21.0,1.0,7.0,21.0,6.0,5.026361979627257,0.023988369773190396,-0.0006743312241741185,-0.1137081404958355,0.06109692846755939,0.0,95.14242913626477,100.0,72.46746022147404,39.867671801925226,100.0,81.25263368874604,81.49551223193279,15.234525173143954,100.0,81.25263368874604,High
2023-03-11,27006546101.0,-0.0163408407754747,0.7142857142857143,7,-0.152198594240638,134015399006.0,-0.0026535763388543,0.7399500436690242,21.0,1.0,7.0,21.0,6.0,4.854086569861636,0.024114325278082282,-0.0035161002402980188,-0.09461894762707859,0.13635841776185698,0.0,91.29224053883408,100.0,80.741879316458,40.34338809249504,71.42857142857143,77.75439933078484,76.76121587527172,15.237337863429923,95.32063744907033,77.75439933078484,High
2023-03-12,26695693316.0,-0.0470772848642295,0.5714285714285714,7,-0.2723669966280577,131234867571.0,-0.020966111175927,0.5444392642332827,14.0,0.6666666666666666,7.0,21.0,6.0,3.9636572841505986,0.02431121281216079,-0.02515574063666652,-0.13747246705377458,0.18335475584167654,0.0,50.712755685873994,58.33333333333333,100.0,41.0870047168868,57.14285714285714,61.133685102941094,61.45519017579026,14.701525334009368,100.0,61.133685102941094,Watch
2023-03-13,29036024907.0,0.0892541900858178,0.0,7,-0.1892759236688597,134768059720.0,0.0265666245771646,0.5888676209736895,16.0,0.7619047619047619,7.0,21.0,6.0,4.140354876399074,0.0293981609277049,0.0009058071122530799,-0.0491849878741655,0.09806442345801054,0.0,59.934138949714935,70.23809523809523,67.86654904626427,60.299694864291695,0.0,54.66440256715897,51.66769561967321,15.175913880404202,75.00896353672964,54.66440256715897,Normal
2023-03-14,29789555995.0,0.0286727105954023,0.0,7,-0.1620262134374931,133438643231.0,-0.0099134537794578,0.589449131107964,16.0,0.7619047619047619,7.0,21.0,6.0,4.153977513477985,0.0297658773013713,-0.007497975328010319,-0.0199578378327673,0.07032237975193634,0.0,60.054835014421656,70.23809523809523,92.33596140851606,61.68850807585012,0.0,59.866221698097696,56.86347994737662,15.199616606877358,61.94269451117166,59.866221698097696,Watch
2023-03-15,29974401329.0,0.014209722450596,0.1428571428571428,7,-0.1438255178322318,132321136166.0,-0.0084099531844167,0.5623617453572933,15.0,0.7142857142857143,7.0,21.0,6.0,4.01597938946343,0.029814734115834098,-0.01608057743745702,-0.012757047361201401,0.07624234582276915,0.0,54.43267871721912,64.28571428571428,100.0,61.8730334172812,14.28571428571428,60.982776362761015,58.97542814118577,15.123820690578981,58.72351421597059,60.982776362761015,Watch
2023-03-16,29031508037.0,-0.0260290960091388,0.8571428571428571,7,-0.1455982750365442,132679479135.0,0.0027044706066648,0.5735877576293591,16.0,0.7619047619047619,7.0,21.0,6.0,4.05099364842509,0.03025959942330442,-0.012621035973461219,-0.0191371153673342,0.08730574250388204,0.0,56.76270776353654,70.23809523809523,100.0,63.553227340164,85.71428571428571,73.80608431367884,75.25366321121629,15.22676236979752,61.575782906260514,73.80608431367884,High
2023-03-17,29316566055.0,0.0184075269845863,0.1428571428571428,7,-0.0789739911263786,132774050347.0,0.000712525587327,0.5712766646337535,16.0,0.7619047619047619,7.0,21.0,6.0,4.039504494302269,0.03021108763105307,-0.011959473707499398,0.0610969284675594,0.09183491934869083,0.0,56.283025960417426,70.23809523809523,100.0,63.37000509927414,14.28571428571428,62.93523370043537,60.83536811670022,15.222994566183656,25.706408017836484,62.93523370043537,Watch
2023-03-18,30875962708.0,0.0589206485188229,0.0,7,-0.0582819892656607,132755579538.0,-0.0001391242780536,0.5884007178909192,16.0,0.7619047619047619,7.0,21.0,6.0,4.136269765962657,0.030105694705773678,-0.009445021646698698,0.136358417761857,0.01579342015758044,0.0,59.83723029521639,70.23809523809523,98.00520375254999,62.97195079026043,0.0,61.20235752998523,58.21049601522441,15.221097755981571,0.0,61.20235752998523,Watch
