date,correlation,density,network_protocols,network_pairs,residual_correlation,residual_density,residual_network_protocols,residual_network_pairs,stablecoin_supply_usd,stablecoin_supply_log_flow,equal_weight_available,lagged_tvl_weighted,capped_lagged_tvl_weighted,category_balanced,retrospective_common_history,stablecoin_contraction,volatility,breadth,tvl_momentum,residual_volatility,residual_breadth,residual_equal_weight_return,eth_log_return,forward_return,label
2022-05-07,0.475257997063529,0.6,6,15,0.08413781822957873,0.0,5,10,185659333778.0,-0.0042125678599992,-0.012332547273888,-0.013478328201175544,-0.012976035917889803,-0.01423388193205426,-0.012332547273888,0.006088580407620302,0.027021258994541282,0.8333333333333334,0.02673617334448722,0.0056772296320588,0.6,0.00021320582991912109,-0.0198880267060311,-0.5003266384248933,1.0
2022-05-08,0.48136995565405816,0.6,6,15,0.13421875076218856,0.1,5,10,185444316534.0,-0.0011587989925721,-0.03861635094251283,-0.050666425108828905,-0.04921915053754374,-0.04048367476487047,-0.03861635094251283,0.008670699155684303,0.0279286125138127,1.0,0.03965899040455458,0.007735530337461914,0.8,-0.030666290357892034,-0.0218989605032557,-0.4561272752727746,1.0
2022-05-09,0.48407957730577816,0.6,6,15,0.13669497353841298,0.1,5,10,180003932412.0,-0.0297759591897215,-0.028738270414478878,-0.0299892554971722,-0.0304092582209873,-0.029924545628797834,-0.02873827041447888,0.037389369934826,0.028332492146979665,1.0,0.0835739098543313,0.007591796601446691,0.6,-0.0025902895503956028,-0.0457660398067471,-0.39561328275219276,1.0
2022-05-10,0.5198219998714785,0.6666666666666666,6,15,0.12233000061840768,0.1,5,10,176977547082.0,-0.016955825501623,-0.10666656260996003,-0.11813607284600253,-0.11442709677323201,-0.10862831884982128,-0.10666656260996003,0.0529001043048859,0.03422959744728456,1.0,0.19581014448984405,0.01002235805436493,0.8,-0.03836267926875342,-0.1145965860108923,-0.31648501160805115,1.0
2022-05-11,0.5152252154754424,0.6666666666666666,6,15,0.15090485334259637,0.3,5,10,176021893184.0,-0.0054144914904022,-0.00020614106989136696,-0.015280780319765607,-0.01505788767779893,0.00013160744082094805,-0.00020614106989136696,0.05866603240160731,0.03423058982279002,0.5,0.1880911104346522,0.011964170764744422,1.0,-0.03950805381606395,0.0413173823851361,-0.29058477134278216,1.0
2022-05-12,0.5857736305262404,0.7333333333333333,6,15,0.29760861983096276,0.3,5,10,160111332612.0,-0.0947389783106888,-0.1919991108057133,-0.21186575695540152,-0.2109439653541143,-0.19646706346822324,-0.19199911080571327,0.1510639638299877,0.048078567231967975,1.0,0.41726744862659115,0.025191527092559295,1.0,-0.12632833743841076,-0.1195133967727914,-0.14594048878722843,1.0
2022-05-13,0.5092076686493481,0.6666666666666666,6,15,0.15656566472554806,0.1,5,10,159859520640.0,-0.0015739685126118,-0.13365081980116814,-0.15092004842860315,-0.14403585280510467,-0.13605516219289926,-0.13365081980116814,0.1538305898576186,0.0531401612834571,0.8333333333333334,0.5122098029176125,0.028540634735447577,0.6,-0.08277330939093368,-0.0563291496170973,0.03129251749409587,0.0
2022-05-14,0.5010533020951907,0.6666666666666666,6,15,0.15156683893925002,0.1,5,10,158564041612.0,-0.0081368738324317,-0.0004493827811687806,-0.0028109508259529102,-0.00331007112650656,-0.001805104349753811,-0.00044938278116878294,0.15775489583005112,0.05281923838995171,0.3333333333333333,0.5003266384248933,0.02851435774713847,0.6,-0.018595643256300212,0.0233777571699553,0.023209002954746413,0.0
2022-05-15,0.4997223792184785,0.6666666666666666,6,15,0.15258781149597106,0.1,5,10,158008821059.0,-0.0035076987812486,0.0055830122096059325,-0.003234977488279087,-0.003503054420286778,0.00668328786957395,0.0055830122096059325,0.1601037956187276,0.0529198632315047,0.3333333333333333,0.4561272752727746,0.02853009063226538,0.8,-0.022069975712713043,0.0250226172993085,0.022635649726756895,0.0
2022-05-16,0.5040715397777787,0.6666666666666666,6,15,0.14773289604227852,0.1,5,10,158064097460.0,0.000349769931714,0.031775722106102966,0.03204280424524041,0.032305783822045235,0.03300938955767099,0.03177572210610297,0.1299780664972921,0.053406936242774004,0.0,0.3956132827521927,0.02865480584707552,0.6,0.0039003430358354797,0.0393366539994589,0.012455030494834311,0.0
