horizon_days,predictor_lag_days,model,train_end,holdout_start,holdout_observations,holdout_events,prevalence,average_precision,roc_auc
14,0,stablecoin_contraction,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.3615912152296611,0.607702457529276
14,0,volatility,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.23019888706952035,0.35557597606088454
14,0,breadth,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.28715000281644165,0.4977615984543248
14,1,original_heuristic,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.21066759306277527,0.3293748969157183
14,1,correlation,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.1897124472622978,0.2603143187012559
14,1,density,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.21614642395441117,0.3245564430621333
14,1,stablecoin_contraction,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.35274742048263563,0.5938714921891567
14,1,volatility,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.24131820958728473,0.3603001814283358
14,1,breadth,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.27066562455313103,0.4634315873801277
14,3,original_heuristic,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.2121646058849675,0.33592516670200984
14,3,correlation,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.19443404496145908,0.27803303409438984
14,3,density,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.2153944114471227,0.3247685021559341
14,3,stablecoin_contraction,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.3320254022773952,0.5622393440305365
14,3,volatility,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.24614504579228347,0.3662613981762918
14,3,breadth,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.27756793542045277,0.4805965929172263
14,7,original_heuristic,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.2207962953331792,0.3614429443227068
14,7,correlation,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.20368073596267355,0.312363045168587
14,7,density,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.22004934256236866,0.3325557833227304
14,7,stablecoin_contraction,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.3296414948945659,0.5258947715652318
14,7,volatility,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.2637589723901143,0.3865483848165689
14,7,breadth,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.28468772017470156,0.5040644659645155
