scenario,propagation_multiplier,rounds,edge_threshold,initial_tail_cutoff,loss_cap,network_window_days,weighting,paths,mean_drawdown,p95_drawdown,p99_drawdown,probability_over_10pct,mean_affected_protocols
grid_20,0.3,3,0.3,0.8,0.5,90,current_tvl,3000,0.06156362259463532,0.14942088561710695,0.2125785035322959,0.13966666666666666,8.0
grid_21,0.3,3,0.3,0.9,0.3,30,current_tvl,3000,0.08332168007085371,0.15007367436176342,0.1559904522027203,0.32566666666666666,8.0
grid_22,0.3,3,0.3,0.9,0.3,90,current_tvl,3000,0.07540118629099138,0.13679379675496547,0.1407589370960386,0.2786666666666667,8.0
grid_23,0.3,3,0.3,0.9,0.5,30,current_tvl,3000,0.08924416077034716,0.1876898030992784,0.24646248449778205,0.323,8.0
grid_24,0.3,3,0.3,0.9,0.5,90,current_tvl,3000,0.08011864861028689,0.16942653902029728,0.22787377543642293,0.26066666666666666,8.0
grid_25,0.3,3,0.6,0.8,0.3,30,current_tvl,3000,0.06159312181656431,0.13413196784236084,0.14827037668182008,0.15166666666666667,6.244
grid_26,0.3,3,0.6,0.8,0.3,90,current_tvl,3000,0.051096466320966094,0.10758606182733665,0.12711564556076219,0.08833333333333333,5.246666666666667
grid_27,0.3,3,0.6,0.8,0.5,30,current_tvl,3000,0.06297551211072785,0.1538990010551926,0.22843468810480932,0.145,6.224
grid_28,0.3,3,0.6,0.8,0.5,90,current_tvl,3000,0.05380915296167534,0.12844841668377915,0.19398916861677992,0.09633333333333334,5.241666666666666
grid_29,0.3,3,0.6,0.9,0.3,30,current_tvl,3000,0.07767351390274296,0.14345971695422474,0.1507346820111497,0.2916666666666667,6.326
grid_30,0.3,3,0.6,0.9,0.3,90,current_tvl,3000,0.06564914882357144,0.12381056206545278,0.12764148561380098,0.17,5.281666666666666
grid_31,0.3,3,0.6,0.9,0.5,30,current_tvl,3000,0.08302385936213631,0.18151107873259392,0.23920670311125883,0.29933333333333334,6.25
grid_32,0.3,3,0.6,0.9,0.5,90,current_tvl,3000,0.06832830147329401,0.14922238911393723,0.20252482228847893,0.17333333333333334,5.213333333333333
grid_33,0.7,1,0.3,0.8,0.3,30,current_tvl,3000,0.09755645976522341,0.1970495104987776,0.21770359569444225,0.38866666666666666,7.691
grid_34,0.7,1,0.3,0.8,0.3,90,current_tvl,3000,0.0808024876481665,0.1693624348667388,0.18109548743081874,0.254,6.619
grid_35,0.7,1,0.3,0.8,0.5,30,current_tvl,3000,0.10241821684935959,0.22797669357847208,0.3172531717163465,0.394,7.697333333333333
grid_36,0.7,1,0.3,0.8,0.5,90,current_tvl,3000,0.08292273299463598,0.17829591142340195,0.26903077207425047,0.23933333333333334,6.636333333333333
grid_37,0.7,1,0.3,0.9,0.3,30,current_tvl,3000,0.12362221181855539,0.2099130729726269,0.22192249027664507,0.683,7.708666666666667
grid_38,0.7,1,0.3,0.9,0.3,90,current_tvl,3000,0.10319671218744055,0.17472444832926956,0.18263550447474003,0.5056666666666667,6.665
grid_39,0.7,1,0.3,0.9,0.5,30,current_tvl,3000,0.13103863156874615,0.26710138528850447,0.34327212733983103,0.672,7.704666666666666
grid_40,0.7,1,0.3,0.9,0.5,90,current_tvl,3000,0.10867902610827819,0.21336324857510808,0.28134820433421087,0.5016666666666667,6.636333333333333
grid_41,0.7,1,0.6,0.8,0.3,30,current_tvl,3000,0.09015411655880617,0.1908563737098281,0.20616935818282042,0.341,5.340333333333334
grid_42,0.7,1,0.6,0.8,0.3,90,current_tvl,3000,0.060415773504955535,0.11883306921041753,0.14297248285412806,0.136,3.518666666666667
grid_43,0.7,1,0.6,0.8,0.5,30,current_tvl,3000,0.09181239884508058,0.2200588691757531,0.3016874108120766,0.33066666666666666,5.291
