date,total_tvl_usd,equal_weight_system_return,downside_breadth,protocol_count,worst_protocol_drawdown_7d,stablecoin_supply_usd,stablecoin_supply_log_flow
2024-08-17,48671565664.0,0.012587907839174833,0.0,8,-0.061288287372574746,168280656208.0,0.00359189077098652
2024-08-18,48705075999.0,0.0008538933800491225,0.625,8,-0.05378643343153933,168371441163.0,0.0005393399174379181
2024-08-19,49307207900.0,0.0073879667571396315,0.0,8,-0.04668961533012517,168354565969.0,-0.00010023101071321151
2024-08-20,48831734840.0,-0.012848177496325374,0.75,8,-0.09121386271937826,168327592985.0,-0.00016022817568658808
2024-08-21,48582026955.0,0.00274102190183248,0.25,8,-0.08964353521994028,168759965224.0,0.0025653422417409133
2024-08-22,49659432346.0,0.01910504381456885,0.0,8,-0.06272883846836363,169028967211.0,0.0015927226622087468
2024-08-23,49370981727.0,-0.003338044289072903,0.75,8,-0.06098295743984328,169168390377.0,0.0008245077660738077
2024-08-24,52034525685.0,0.042588415972646364,0.0,8,-0.03361508938575197,169789134953.0,0.0036626728929834945
2024-08-25,51537026476.0,-0.004930595522074609,0.875,8,-0.038551039153189026,170136977125.0,0.0020465758942978807
2024-08-26,51776325762.0,0.0004492350189749167,0.375,8,-0.03230335988597033,170118850202.0,-0.00010654878806665639
2024-08-27,50399745365.0,-0.019969490045950458,0.875,8,-0.037706121945795146,169860936977.0,-0.0015172271070343782
2024-08-28,46523161203.0,-0.05808346038082826,1.0,8,-0.12520790037066498,169796376470.0,-0.000380150847466292
2024-08-29,47614005977.0,0.013605350878871573,0.0,8,-0.09488196744637833,170020873057.0,0.00132127853999497
2024-08-30,47566485066.0,-0.0035152105543716228,0.625,8,-0.09572342916130483,170240016007.0,0.0012880879780362967
2024-08-31,46729711147.0,0.004922179589933541,0.14285714285714285,7,-0.09518989115398446,170154023384.0,-0.0005052534115063208
2024-09-01,46555903291.0,-0.005289629716339265,1.0,7,-0.09295235771638422,169852487984.0,-0.0017737041437234612
2024-09-02,45187688445.0,-0.019634239823203677,0.8571428571428571,7,-0.1274904825329607,170323947850.0,0.002771856708438568
2024-09-03,47206171317.0,0.03636965929325825,0.0,7,-0.0527046760727965,170189401578.0,-0.000790255531702759
2024-09-04,45667488286.0,-0.03152868777586077,1.0,7,-0.04236114556136039,169815754210.0,-0.002197893249882963
2024-09-05,47161994638.0,0.015141794803843273,0.125,8,-0.04548214141068718,170138556354.0,0.001899091913153301
2024-09-06,46083986553.0,-0.013437219665793042,0.875,8,-0.0677512593216274,169847577712.0,-0.001711709295706465
2024-09-07,43610178607.0,-0.04301406197623243,1.0,8,-0.12937785749710684,169809434976.0,-0.00022459560518700225
2024-09-08,44439932089.0,0.01486718219716603,0.0,8,-0.10980368266544327,170068015116.0,0.0015216083904402956
2024-09-09,45126002515.0,0.010231162867712253,0.0,8,-0.08993049722203394,170038121083.0,-0.0001757923771154642
2024-09-10,46252454835.0,0.02458688114131559,0.0,8,-0.07187431955764123,170711490230.0,0.003952286377901463
2024-09-11,46569149149.0,0.00476488050806547,0.25,8,-0.03643344873395582,170578919124.0,-0.0007768815591311088
2024-09-12,46043482575.0,-0.006445332401810898,0.875,8,-0.052725504390945366,170591470034.0,7.357561150980355e-05
2024-09-13,46290079684.0,0.006423911962458596,0.125,8,-0.018929708708863346,170366803889.0,-0.0013178514480992293
2024-09-14,48111159368.0,0.02951185092625954,0.0,8,0.0,171131815875.0,0.004480330059458628
2024-09-15,47602258271.0,-0.010548489111682184,0.875,8,-0.025734154361741868,171808167416.0,0.003944436058061428
2024-09-16,46387394862.0,-0.018906373679324632,1.0,8,-0.04260481992746212,171459675809.0,-0.002030436194968156
2024-09-17,45413720546.0,-0.019530662782479315,1.0,8,-0.06901559323926487,171096882209.0,-0.002118153788914885
2024-09-18,46580274982.0,0.02326535199873743,0.0,8,-0.042407804131570415,171696197462.0,0.0034966625592898954
2024-09-19,46575198994.0,-0.003606219024701601,0.75,8,-0.046935768772113806,171923050856.0,0.0013203767138678505
2024-09-20,48500114674.0,0.03418016455960086,0.0,8,-0.010426803568413745,171822156899.0,-0.0005870275868355224
2024-09-21,50047776710.0,0.021723421944719816,0.125,8,-0.011173213917725078,172400244705.0,0.003358807252433699
2024-09-22,50322276038.0,0.004525201125926369,0.125,8,-0.005858396879445227,172642788466.0,0.0014058756597383683
2024-09-23,49922250111.0,-0.00776364561334344,0.875,8,-0.02897169435707314,172553651277.0,-0.0005164432810925865
2024-09-24,51786477954.0,0.027360614592412617,0.0,8,0.0,172449498325.0,-0.0006037797352530681
2024-09-25,52056585115.0,0.005908755830215642,0.125,8,-0.006918813814696501,172484067379.0,0.00020043891086788895
2024-09-26,50853630213.0,-0.01819083908295847,1.0,8,-0.038387198164465675,172708914572.0,0.0013027334653704008
2024-09-27,52252008803.0,0.020931069940304515,0.0,8,-0.01662896888051224,173157646836.0,0.0025948302949832
2024-09-28,53085173618.0,0.013586333115382716,0.0,8,-0.0093037943650629,172900519296.0,-0.0014860368139379642
2024-09-29,52705451443.0,-0.004605416030486918,0.875,8,-0.017219035385779957,172926402160.0,0.00014968680829913986
2024-09-30,52477796282.0,-0.0058201778214822045,1.0,8,-0.025123764646973856,172915390270.0,-6.36816616427466e-05
2024-10-01,51471974388.0,-0.016067488017255903,1.0,8,-0.04656768408742884,172269887975.0,-0.0037400381077433978
2024-10-02,49420730622.0,-0.030786137550926768,0.875,8,-0.0931168442863558,172681212957.0,0.0023848317969526827
2024-10-03,47834516155.0,-0.022066488095806615,1.0,8,-0.12142713369997893,172806561818.0,0.0007256341650976769
2024-10-04,47377781278.0,-0.010262310369669318,1.0,8,-0.12958450325824444,172671680514.0,-0.0007808382371215188
2024-10-05,48767651620.0,0.02520677026466507,0.0,8,-0.10141990612829932,172707070715.0,0.0002049356018453261
2024-10-06,48579349154.0,-0.0033768899724611694,0.75,8,-0.09571309645551862,173489750814.0,0.004521598026372011
2024-10-07,48905464719.0,0.002803849659959068,0.25,8,-0.08518334020019724,172268154305.0,-0.0070662250894380964
2024-10-08,48886588075.0,0.005889111114415795,0.25,8,-0.0659401079102453,172846457976.0,0.00335137482853059
2024-10-09,48590223412.0,-0.007889296592562696,1.0,8,-0.06521579078137352,172930782212.0,0.0004877373515144175
2024-10-10,47414956850.0,-0.017137374011936404,0.875,8,-0.05897141627069846,172969080562.0,0.00022144183492497902
2024-10-11,47416198261.0,-0.0018239992220056166,0.5,8,-0.06827989579282712,172589272700.0,-0.0021982279482302535
2024-10-12,48825805066.0,0.026168506380994883,0.0,8,-0.03787638426616924,172961657978.0,0.0021553142480342847
2024-10-13,49564565809.0,0.010181021501050068,0.0,8,-0.02582268735365023,173240261989.0,0.0016094888853831469
2024-10-14,49383081199.0,-0.0044883619777367064,1.0,8,-0.029921606848126392,173555657548.0,0.0018189120931798237
2024-10-15,52065815599.0,0.03620070888441594,0.125,8,-0.011991379745971309,172837006995.0,-0.004149346436283588
2024-10-16,51508215516.0,-0.012719741367688667,1.0,8,-0.0232096239404449,172892786783.0,0.00032267851650537055
2024-10-17,51917332081.0,0.005245944061849249,0.5,8,-0.02712128072476283,172591920253.0,-0.00174170723004708
2024-10-18,51680373081.0,-0.006075904559617681,0.75,8,-0.03828508956898391,172564172571.0,-0.00016078338257187284
2024-10-19,52386195094.0,0.01134037432528234,0.0,8,-0.03247017185780687,172881953469.0,0.0018398295055894204
2024-10-20,52470372128.0,0.0023864446518775885,0.125,8,-0.030512171590226456,172904777148.0,0.00013201014968051048
2024-10-21,53972960916.0,0.019801027398224494,0.0,8,-0.015900519430504967,172801521764.0,-0.0005973590148366429
2024-10-22,52791930260.0,-0.02044284884138249,1.0,8,-0.04328481471214307,172985285030.0,0.0010628704143079196
2024-10-23,52337561316.0,0.005674778660188078,0.625,8,-0.05576185864969152,172855847778.0,-0.0007485359360973681
2024-10-24,50114999524.0,-0.03373809975265736,1.0,8,-0.09635740686537919,172345339827.0,-0.00295774372453753
2024-10-25,50665984585.0,0.007835204054343304,0.125,8,-0.11468563282894184,171709248250.0,-0.00369762429443525
2024-10-26,49349150457.0,-0.020895028821060136,0.75,8,-0.173739219985106,172583435552.0,0.0050781745982149875
2024-10-27,49525736136.0,-0.003564046661549388,0.5,8,-0.16732612401584745,172664156927.0,0.00046761442066136434
2024-10-28,50143260255.0,0.011517116201568405,0.125,8,-0.15516184551819767,173088838687.0,0.0024565628003584655
2024-10-29,51110803444.0,0.015509180714709725,0.125,8,-0.11527873829073798,172327514396.0,-0.004408161437841971
2024-10-30,52309134736.0,0.021033428680889473,0.0,8,-0.07391957206857847,172931965244.0,0.0035014329870337343
2024-10-31,52900809960.0,0.0051716058113337494,0.375,8,-0.029155339611883546,173186270241.0,0.0014694691968746895
2024-11-01,50323073591.0,-0.03740695002761432,1.0,8,-0.06967270555903071,172620431472.0,-0.003272575523818915
2024-11-02,50471323348.0,0.003150236579193034,0.5,8,-0.05699571711509965,173074254930.0,0.0026255753215739287
2024-11-03,50087993656.0,-0.005851135515007337,0.875,8,-0.06754126956434081,173144642725.0,0.00040660863082002505
2024-11-04,49791346518.0,-0.005417384175683223,0.75,8,-0.08020291301474325,173442669155.0,0.0017197773446340002
2024-11-05,48569375759.0,-0.020445471293054678,1.0,8,-0.10366736657427034,174853875597.0,0.00810352089755486
2024-11-06,49382671578.0,0.015621281856722097,0.125,8,-0.09044573005075751,174985162161.0,0.0007505541462984761
2024-11-07,54806091544.0,0.08245855849059304,0.0,8,-0.01774830192643606,176739065473.0,0.009973255817842771
2024-11-08,57181906773.0,0.02850830719679108,0.0,8,0.0,177464487981.0,0.004096082691327778
2024-11-09,58549064996.0,0.012881822381054347,0.125,8,-0.024684373340531307,178630187640.0,0.006547156713117448
2024-11-10,57684579249.0,0.0317216903067475,0.0,7,-0.003787114918061052,178654990442.0,0.00013884036372853608
